sep=;
PWM;samples;voltage,current;velocity;
95;420;0.47;4.09;19.37
127;317;0.63;5.97;26.96
159;254;0.78;8.49;34.93
191;219;0.94;10.07;42.11
223;191;1.10;12.58;50.58
255;173;1.25;14.51;57.96
287;158;1.41;16.82;66.02
319;147;1.57;19.37;73.77
351;137;1.72;21.78;82.09
383;130;1.88;24.10;89.67
415;123;2.04;26.85;98.07
447;186;2.19;28.88;105.92
479;176;2.35;31.87;114.16
511;169;2.51;34.10;121.91
543;161;2.66;36.60;130.20
575;155;2.82;39.19;137.69
607;149;2.98;41.63;145.48
639;144;3.13;44.16;152.99
671;139;3.29;46.77;160.96
703;135;3.44;49.15;168.15
735;131;3.60;52.23;176.51
767;128;3.75;54.42;183.58
799;125;3.91;57.50;191.79
831;122;4.07;60.23;199.62
863;119;4.22;62.97;207.36
895;117;4.38;66.46;214.89
927;114;4.53;69.60;223.39
959;112;4.69;73.43;230.90
991;110;4.84;77.42;239.79
1023;108;5.00;80.63;246.68
