sep=;
PWM;samples;voltage,current;velocity;
95;516;0.47;10.51;14.41
127;339;0.63;13.38;23.67
159;265;0.79;13.37;33.50
191;224;0.95;16.45;40.87
223;196;1.11;21.65;48.19
255;175;1.26;22.86;56.94
287;160;1.42;24.27;64.83
319;148;1.58;29.46;72.01
351;138;1.74;31.82;80.31
383;130;1.90;32.82;88.47
415;124;2.05;37.48;95.56
447;187;2.21;38.49;103.68
479;177;2.37;43.77;111.22
511;169;2.53;43.69;118.95
543;162;2.68;47.50;126.31
575;155;2.84;51.00;133.96
607;149;3.00;51.69;141.97
639;144;3.15;56.93;149.47
671;139;3.31;57.59;157.66
703;135;3.47;61.78;165.39
735;131;3.62;64.77;173.41
767;128;3.78;65.80;181.23
799;125;3.94;70.46;189.40
831;122;4.09;71.85;198.06
863;119;4.25;74.80;205.59
895;117;4.41;78.26;214.18
927;114;4.56;79.81;222.51
959;112;4.72;84.22;229.99
991;110;4.87;87.55;238.45
1023;108;5.03;89.43;247.27
